model,mse,mse_std,rmse,mae,worst_fold_mse
ridge,225.06014584769457,48.85240063687446,14.94460821681035,11.834596514706371,278.99190828240097
extra_trees,238.46905265480032,37.11984965290766,15.411724197250377,12.362213253448255,278.6973696123395
elastic_net,243.9826805298193,49.65299549893733,15.568504206287662,12.17350858151226,301.1605480108536
random_forest,250.92437873813995,58.48789517654547,15.77208265075283,12.525304972477757,317.6157089064756
hist_gradient_boosting,272.94052275148016,76.56549069580292,16.418011424362724,13.13399198566431,360.200599170724
svr_rbf,297.1828698591638,64.7648090471459,17.173751584119024,13.260263258999254,371.1771737819714
mean,581.8324579075476,64.2236806320065,24.0963165465339,19.352165051044867,640.6580715402798
