match_id,competition,stage,group_id,round_in_group,team_a,team_b,venue,city,country,date,local_kickoff_time,utc_datetime,goals_a,goals_b,source_url,retrieval_date
WC26-G05,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,G,3,Egypt,Iran,Lumen Field,Seattle,United States,2026-06-26,20:00,2026-06-27T03:00:00+00:00,1,1,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-G06,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,G,3,New Zealand,Belgium,BC Place,Vancouver,Canada,2026-06-26,20:00,2026-06-27T03:00:00+00:00,1,5,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-H01,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,H,1,Spain,Cape Verde,Mercedes-Benz Stadium,Atlanta,United States,2026-06-15,12:00,2026-06-15T16:00:00+00:00,0,0,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-H02,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,H,1,Saudi Arabia,Uruguay,Hard Rock Stadium,Miami (Miami Gardens),United States,2026-06-15,18:00,2026-06-15T22:00:00+00:00,1,1,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-H03,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,H,2,Spain,Saudi Arabia,Mercedes-Benz Stadium,Atlanta,United States,2026-06-21,12:00,2026-06-21T16:00:00+00:00,4,0,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-H04,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,H,2,Uruguay,Cape Verde,Hard Rock Stadium,Miami (Miami Gardens),United States,2026-06-21,18:00,2026-06-21T22:00:00+00:00,2,2,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-H05,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,H,3,Cape Verde,Saudi Arabia,NRG Stadium,Houston,United States,2026-06-26,19:00,2026-06-27T00:00:00+00:00,0,0,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-H06,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,H,3,Uruguay,Spain,Estadio Akron,Guadalajara (Zapopan),Mexico,2026-06-26,18:00,2026-06-27T00:00:00+00:00,0,1,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-I01,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,I,1,France,Senegal,MetLife Stadium,New York/New Jersey (East Rutherford),United States,2026-06-16,15:00,2026-06-16T19:00:00+00:00,3,1,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-I02,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,I,1,Iraq,Norway,Gillette Stadium,Boston (Foxborough),United States,2026-06-16,18:00,2026-06-16T22:00:00+00:00,1,4,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-I03,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,I,2,France,Iraq,Lincoln Financial Field,Philadelphia,United States,2026-06-22,17:00,2026-06-22T21:00:00+00:00,3,0,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-I04,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,I,2,Norway,Senegal,MetLife Stadium,New York/New Jersey (East Rutherford),United States,2026-06-22,20:00,2026-06-23T00:00:00+00:00,3,2,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-I05,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,I,3,Norway,France,Gillette Stadium,Boston (Foxborough),United States,2026-06-26,15:00,2026-06-26T19:00:00+00:00,1,4,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-I06,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,I,3,Senegal,Iraq,BMO Field,Toronto,Canada,2026-06-26,15:00,2026-06-26T19:00:00+00:00,5,0,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-J01,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,J,1,Argentina,Algeria,Arrowhead Stadium,Kansas City,United States,2026-06-16,20:00,2026-06-17T01:00:00+00:00,3,0,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-J02,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,J,1,Austria,Jordan,Levi's Stadium,San Francisco Bay Area (Santa Clara),United States,2026-06-16,21:00,2026-06-17T04:00:00+00:00,3,1,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-J03,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,J,2,Argentina,Austria,AT&T Stadium,Dallas (Arlington),United States,2026-06-22,12:00,2026-06-22T17:00:00+00:00,2,0,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-J04,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,J,2,Jordan,Algeria,Levi's Stadium,San Francisco Bay Area (Santa Clara),United States,2026-06-22,20:00,2026-06-23T03:00:00+00:00,1,2,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
