simulations,probability_mae_vs_50000,probability_max_abs_vs_50000,collusion_risk_mae_vs_50000,qualification_total
5000,0.0024708333333333336,0.011520000000000002,0.0010141938696331453,32.0
10000,0.001710833333333335,0.008019999999999972,0.0011693264833861935,32.0
20000,0.0014162499999999956,0.008529999999999927,0.00035753958919445373,32.0
