weight_T,weight_B,weight_U,weight_H,weight_C,weight_D,weight_F,weight_R,baseline_score,copt_score,copt_minus_baseline
0.27015975300352957,0.2066630154576626,0.17491075314355325,0.08827934626324889,0.09129210283993201,0.06382054371349567,0.05834349529198893,0.04653099028658907,0.32331918780365354,0.43853583002026153,0.11521664221660799
0.22310370416299613,0.2594890794133651,0.1345604485109777,0.11876921126675538,0.0722871736007563,0.07445190582259244,0.07246699248876921,0.044871484733787756,0.2947732079613516,0.43731418930953775,0.14254098134818616
0.2450224811996186,0.2367996415832375,0.14191525384608886,0.08717732832016822,0.09773311202570562,0.08160604529035112,0.06120021129194374,0.04854592644288635,0.2761993084869088,0.4087598024840529,0.1325604939971441
0.23315319649559135,0.2810712912242483,0.12436611699368906,0.09657710966670377,0.08537885066509417,0.07541742722678767,0.0628579439152704,0.04117806381261527,0.28904265800808904,0.4456955668507225,0.15665290884263344
0.2337850739969149,0.28128677497507615,0.13482026112949055,0.09677658909155867,0.08354064506391395,0.07757839713430888,0.04696786700880435,0.04524439159993253,0.30116600114244374,0.46072191353689484,0.1595559123944511
0.2635220778550593,0.27151043207891734,0.12521798456791566,0.10688640372054785,0.06835776782015328,0.058102409358394475,0.062431280598827237,0.0439716440001848,0.3422531302273405,0.4927902116677252,0.1505370814403847
0.2820778863421373,0.2070623891405981,0.15018122979116086,0.09261742155021947,0.09118287596744412,0.067393099442537,0.06828035582780113,0.04120474193810194,0.3221921891762259,0.4362650699097118,0.11407288073348593
0.2563480125378957,0.25952307222629617,0.12885116131599073,0.10548676041961975,0.0790451912647492,0.06273734672256222,0.06425568537479119,0.043752770138094914,0.32205467881588645,0.4658043069775889,0.14374962816170245
0.25507428267891874,0.23689356669401143,0.1711655209485077,0.08214910720682911,0.08853857584714328,0.06850207930899137,0.06194263025548816,0.03573423706011005,0.3139655620198567,0.44564953481387903,0.13168397279402233
0.2648727157840764,0.2472596034619314,0.12737023914635168,0.10432775383692908,0.08173718541919137,0.07854900394149761,0.05868124047497796,0.037202257935044454,0.3215559023686313,0.46023037217989193,0.13867446981126064
0.20803052144080145,0.24756437955559804,0.17322722017418848,0.1120174929731151,0.08524190735858839,0.05958244634156729,0.06826249552506683,0.04607353663107444,0.28972314397743393,0.42541190536498663,0.1356887613875527
0.21950339134810354,0.2828616969183874,0.13893164426561141,0.09042516441361505,0.09059934897246455,0.06863969328125821,0.06792191077074944,0.041117150029810416,0.2760141498735833,0.43237806216217667,0.15636391228859337
0.27733011961708853,0.2194343419249222,0.15837101581351884,0.10155616319417934,0.08113247950273102,0.06362677699677508,0.061114753629886595,0.037434349320898376,0.3444707289179073,0.46632683728265417,0.12185610836474686
0.27114522984892725,0.22010881266656127,0.16741318262124885,0.09038440663407227,0.08458597323142336,0.060183698830116594,0.0626654136709352,0.04351328249671518,0.3315588984367648,0.45337119374035073,0.12181229530358595
