model,fold,mse,rmse,mae,n_validation
hist_gradient_boosting,fold_1,360.200599170724,18.97895147711601,14.750130601829088,122
hist_gradient_boosting,fold_2,241.62038555567145,15.544143127096824,12.465552625134546,108
hist_gradient_boosting,fold_3,217.00058352804504,14.730939668875338,12.186292730029292,132
mean,fold_1,640.6580715402798,25.311224220497117,20.396543220235134,122
mean,fold_2,513.3128545019523,22.65640868500461,18.39006379490741,108
mean,fold_3,591.5264476804108,24.321316734099963,19.269888137992066,132
ridge,fold_1,278.99190828240097,16.703050867503247,13.098291176565068,122
ridge,fold_2,212.41490702167576,14.574460779791332,11.596239187775742,108
ridge,fold_3,183.77362223900695,13.55631300313647,10.809259179778302,132
